k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.6296025,0.9444444444313271,0.4857142857108164,68,4,72,112,0.026928710937500003,0.0036458333333333334,0.02328287760416667
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.62055945,0.7362637362556455,0.6699999999933,67,24,33,132,0.039282226562499994,0.010714285714285716,0.028567940848214277
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.62055945,0.687999999994496,0.6564885496133093,86,39,45,86,0.023046875,0.01565,0.007396875000000001
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.62055945,0.6136363636317149,0.6806722689018431,81,51,38,86,0.03945312499999999,0.027225378787878788,0.012227746212121204
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.62055945,0.8974358974320623,0.9545454545411157,210,24,10,12,0.0095703125,0.007318376068376068,0.0022519364316239323
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.62055945,0.8229166666580946,0.6269841269791508,79,17,47,113,0.0252685546875,0.009375,0.0158935546875
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.62055945,0.6142857142813266,0.6142857142813266,86,54,54,62,0.026928710937500003,0.023839285714285716,0.003089425223214287
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6164806,0.9999999998888889,0.0899999999991,9,0,91,156,0.039282226562499994,0.001388888888888889,0.037893337673611104
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6164806,0.8095238094852608,0.1297709923654216,17,4,114,121,0.023046875,0.009523809523809525,0.013523065476190477
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6164806,0.9166666666284722,0.1271676300570684,22,2,151,81,0.019604492187500003,0.005989583333333333,0.01361490885416667
