k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.69680864,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937499996,8.223684210526316e-05,0.026846474095394732
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.7263469,0.7142857142778649,0.5158730158689216,65,26,61,104,0.0252685546875,0.011332417582417582,0.013936137105082418
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7263469,0.883116883105414,0.4927536231848352,68,9,70,109,0.0283203125,0.006006493506493507,0.02231381899350649
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.7263469,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.7263469,0.9105691056836539,0.8549618320545423,112,11,19,114,0.023046875,0.00391260162601626,0.01913427337398374
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.7263469,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.7263469,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937499996,8.223684210526316e-05,0.026846474095394732
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.60847044,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.60847044,0.9999999999836067,0.4420289855040433,61,0,77,118,0.0283203125,0.0029713114754098364,0.025349001024590163
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.60847044,0.9649122806975223,0.9999999999954546,220,8,0,28,0.0095703125,0.001343201754385965,0.008227110745614035
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.60847044,0.9999999999878049,0.6890756302463102,82,0,37,137,0.039453125,0.0013719512195121953,0.0380811737804878
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.60847044,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.60847044,0.823999999993408,0.7357142857090306,103,22,37,94,0.026928710937499996,0.0078000000000000005,0.019128710937499994
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.6025547,0.7821782178140378,0.6269841269791508,79,22,47,108,0.0252685546875,0.007549504950495049,0.01771904973700495
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.6025547,0.8490566037655749,0.6521739130387524,90,16,48,102,0.0283203125,0.004952830188679246,0.023367482311320756
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.6025547,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.6025547,0.934579439243602,0.8403361344467198,100,7,19,130,0.039453125,0.004147196261682242,0.035305928738317754
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.6025547,0.7891156462531353,0.8854961831993474,116,31,15,94,0.023046875,0.007610544217687074,0.015436330782312928
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.6025547,0.8571428571346938,0.642857142852551,90,15,50,101,0.026928710937499996,0.00744047619047619,0.019488234747023804
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.81910574,0.9583333333133681,0.3650793650764676,46,2,80,128,0.0252685546875,0.0007812500000000002,0.0244873046875
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.81910574,0.9999999999375,0.1159420289846671,16,0,122,118,0.0283203125,0.000390625,0.0279296875
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.81910574,0.9861111111065458,0.9681818181774174,213,3,7,33,0.0095703125,0.000462962962962963,0.009107349537037037
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.81910574,0.99999999995,0.16806722688934397,20,0,99,137,0.039453125,0.0,0.039453125
