model,k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.5,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.6596164021164022,0.6788990825625789,0.5873015872969262,74,35,52,95,0.0252685546875,0.012672018348623854,0.012596536338876146
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.6596164021164022,0.999999999992,0.7225433525969795,125,0,48,83,0.019604492187500003,0.0,0.019604492187500003
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.6596164021164022,0.7809523809449432,0.5942028985464188,82,23,56,95,0.0283203125,0.007738095238095238,0.02058221726190476
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.6596164021164022,0.9007092198517681,0.9694656488475614,127,14,4,111,0.023046875,0.0036790780141843973,0.019367796985815602
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.6596164021164022,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.6596164021164022,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.670390522875817,0.7312499999954297,0.8357142857083164,117,43,23,73,0.026928710937500003,0.0154296875,0.011499023437500002
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.670390522875817,0.9999999999931508,0.8439306358332721,146,0,27,83,0.019604492187500003,0.0001284246575342466,0.019476067529965755
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.670390522875817,0.999999999983871,0.449275362315585,62,0,76,118,0.0283203125,0.002923387096774194,0.025396925403225808
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.670390522875817,0.9916666666584028,0.9083969465579512,119,1,12,124,0.023046875,0.0004166666666666667,0.022630208333333336
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.670390522875817,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.670390522875817,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.7333333333333333,0.8535031847079395,0.9571428571360204,134,23,6,93,0.026928710937500003,0.006807324840764331,0.020121386096735673
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.7333333333333333,0.999999999983871,0.49206349205958677,62,0,64,130,0.0252685546875,0.00010080645161290323,0.025167748235887098
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.7333333333333333,0.999999999983871,0.449275362315585,62,0,76,118,0.0283203125,0.003024193548387097,0.025296118951612902
